video_id,author,comment,likes,published
CPWxExGk7PM,@SHEESH804,wow,0,2025-05-31T03:37:17Z
CPWxExGk7PM,@taliw7736,Vibe!!! Plus a real message on trauma and cycles,0,2025-05-30T15:37:10Z
CPWxExGk7PM,@nouralebsir2767,Slayyyyy diva💅🫦,0,2025-05-30T13:39:10Z
CPWxExGk7PM,@mikaylawiseman6028,⚠️FLASH WARNINGG⚠️,0,2025-05-30T11:30:50Z
CPWxExGk7PM,@petetohare5892,2025 anyone?,0,2025-05-30T08:44:48Z
CPWxExGk7PM,@darling_doe_,how has it almost been a year 😢,0,2025-05-30T04:39:55Z
CPWxExGk7PM,@LauraPKXD-k3e,Tieqo,0,2025-05-29T20:01:15Z
CPWxExGk7PM,@Giggity7,Dress to impress😭😭😭,0,2025-05-29T19:50:38Z
CPWxExGk7PM,@lunaredhood,I like the song itself but there should be a seizure warning on the music vidoe,0,2025-05-29T18:33:00Z
CPWxExGk7PM,@Leonara-r6t,dti made me know this,0,2025-05-29T01:34:11Z
CPWxExGk7PM,@Maxyloohoo213,FLASH WARNING PLEASE,0,2025-05-29T00:41:20Z
CPWxExGk7PM,@hijriyatulihsan4400,1:14,0,2025-05-28T04:31:16Z
CPWxExGk7PM,@PinkieRockStar878,This sounds like the future we were promised,2,2025-05-27T22:04:36Z
CPWxExGk7PM,@Milik225,WHO WANT BRAT SUMMER IN 2025???,1,2025-05-27T17:30:04Z
CPWxExGk7PM,@ChavissaraLaokanesorn,my perfect part 1:16,0,2025-05-27T10:49:50Z
CPWxExGk7PM,@AnnieDelossantos-si5jj,Ok COOLLL 0:46,0,2025-05-27T01:06:06Z
CPWxExGk7PM,@DarmarisGonzalez-o2n,do you guys hear something because i hear a ding dong 1:17,0,2025-05-27T00:20:50Z
CPWxExGk7PM,@livvimaegreen2958,Love this song girl,0,2025-05-26T21:47:18Z
CPWxExGk7PM,@Baka_Crazy,"The seeds I want to keep are a very yummy cake recipe (yes from the internet but my mother made some delicious cake which is well known in the part where I am living), how to make laundry, random cleaning my apartment (without yelling), decorating for Christmas and having plants",0,2025-05-24T21:41:50Z
